torq, px, py, theta, theta_dot, theta_dd, fitness, delta_theta, force, cx, x_dot, x_dd
0, -0.0871557, 0.996195, 95, 0, 0, 13.7078, 5, 0, 0, 0, 0
0, -0.0857636, 0.996316, 94.9199, -0.013974, -0.13974, 14.4883, 4.91993, 2.99561, 0.0104494, 0.104494, 1.04494
0, -0.0840423, 0.996462, 94.821, -0.0172749, -0.0330089, 14.2169, 4.82096, 2.63273, 0.0297843, 0.193349, 0.888545
0, -0.0822099, 0.996615, 94.7156, -0.0183878, -0.0111287, 13.9281, 4.7156, 2.51563, 0.0575416, 0.277573, 0.842247
0, -0.0803099, 0.99677, 94.6064, -0.0190631, -0.00675359, 13.6286, 4.60638, 2.44796, 0.0934813, 0.359397, 0.818238
0, -0.0783495, 0.996926, 94.4937, -0.019666, -0.00602895, 13.3197, 4.4937, 2.3893, 0.137405, 0.439242, 0.798445
0, -0.0763282, 0.997083, 94.3775, -0.0202736, -0.00607605, 13.0013, 4.37754, 2.33119, 0.189121, 0.517151, 0.779092
0, -0.0742438, 0.99724, 94.2578, -0.0209032, -0.006296, 12.6729, 4.25777, 2.27182, 0.248429, 0.593089, 0.759377
0, -0.0720936, 0.997398, 94.1342, -0.0215597, -0.00656484, 12.3343, 4.13425, 2.21076, 0.315129, 0.667, 0.739113
0, -0.0698747, 0.997556, 94.0068, -0.0222455, -0.00685776, 11.9848, 4.00679, 2.14784, 0.389012, 0.738824, 0.718239
0, -0.0675838, 0.997714, 93.8752, -0.0229626, -0.00717069, 11.6241, 3.87522, 2.08298, 0.469861, 0.808496, 0.696723
0, -0.0652178, 0.997871, 93.7394, -0.023713, -0.00750406, 11.2517, 3.73936, 2.01608, 0.557456, 0.875949, 0.674534
0, -0.0627729, 0.998028, 93.599, -0.0244989, -0.00785933, 10.8668, 3.59899, 1.94705, 0.651568, 0.941114, 0.651642
0, -0.0602454, 0.998184, 93.4539, -0.0253227, -0.00823833, 10.4691, 3.4539, 1.87578, 0.751959, 1.00392, 0.628014
0, -0.0576313, 0.998338, 93.3039, -0.0261871, -0.00864315, 10.0577, 3.30386, 1.80219, 0.858387, 1.06428, 0.603618
0, -0.0549261, 0.99849, 93.1486, -0.0270947, -0.0090761, 9.63212, 3.14862, 1.72615, 0.970599, 1.12212, 0.578416
